otter_id,age1,age2,age_diff,age_class1,age_class2,certainty_code1,certainty_code2,tooth_category1,tooth_category2,age_agreement,age_class_agreement,certainty_code_combo,tooth_category_combo,certainty_category,year,area
SOD-2022-21,8,3,5,2,2,B,B,M,C,0,1,BB,MC,Low,2022,KATM
SOD-2022-21,8,4,4,2,2,B,A,M,P,0,1,AB,MP,Low,2022,KATM
SOD-2022-21,4,3,1,2,2,B,B,I,C,0,1,BB,CI,High,2022,KATM
SOD-2022-21,4,4,0,2,2,B,A,I,P,1,1,AB,PI,High,2022,KATM
SOD-2022-21,3,4,1,2,2,B,A,C,P,0,1,AB,PC,High,2022,KATM
SOD-2022-25,14,14,0,3,3,A,A,I,M,1,1,AA,MI,High,2022,KATM
SOD-2022-25,14,14,0,3,3,A,A,I,C,1,1,AA,CI,High,2022,KATM
SOD-2022-25,14,14,0,3,3,A,A,I,P,1,1,AA,PI,High,2022,KATM
SOD-2022-25,14,14,0,3,3,A,A,M,C,1,1,AA,MC,High,2022,KATM
SOD-2022-25,14,14,0,3,3,A,A,M,P,1,1,AA,MP,High,2022,KATM
SOD-2022-25,14,14,0,3,3,A,A,C,P,1,1,AA,PC,High,2022,KATM
SOD-2022-28,6,11,5,2,3,B,A,C,M,0,0,AB,MC,Low,2022,WPWS
SOD-2022-28,6,7,1,2,2,B,A,C,I,0,1,AB,CI,High,2022,WPWS
SOD-2022-28,6,7,1,2,2,B,A,C,P,0,1,AB,PC,High,2022,WPWS
SOD-2022-28,11,7,4,3,2,A,A,M,I,0,0,AA,MI,Low,2022,WPWS
SOD-2022-28,11,7,4,3,2,A,A,M,P,0,0,AA,MP,Low,2022,WPWS
SOD-2022-28,7,7,0,2,2,A,A,I,P,1,1,AA,PI,High,2022,WPWS
SOD-2022-29,6,4,2,2,2,A,B,I,P,0,1,AB,PI,High,2022,WPWS
SOD-2022-32,6,5,1,2,2,A,A,C,I,0,1,AA,CI,High,2022,KATM
SOD-2022-35,5,6,1,2,2,B,A,C,M,0,1,AB,MC,High,2022,WPWS
SOD-2022-35,5,5,0,2,2,B,B,C,I,1,1,BB,CI,High,2022,WPWS
SOD-2022-35,6,5,1,2,2,A,B,M,I,0,1,AB,MI,High,2022,WPWS
SOD-2022-37,12,13,1,3,3,A,A,C,M,0,1,AA,MC,High,2022,KATM
SOD-2022-37,12,13,1,3,3,A,A,C,I,0,1,AA,CI,High,2022,KATM
SOD-2022-37,12,13,1,3,3,A,A,C,P,0,1,AA,PC,High,2022,KATM
SOD-2022-37,13,13,0,3,3,A,A,M,I,1,1,AA,MI,High,2022,KATM
SOD-2022-37,13,13,0,3,3,A,A,M,P,1,1,AA,MP,High,2022,KATM
SOD-2022-37,13,13,0,3,3,A,A,I,P,1,1,AA,PI,High,2022,KATM
SOD-2022-49,1,0,1,1,1,A,A,M,C,0,1,AA,MC,High,2022,WPWS
SOD-2022-57,12,13,1,3,3,A,C,M,C,0,1,AC,MC,High,2022,KATM
SOD-2022-57,12,7,5,3,2,A,C,M,I,0,0,AC,MI,Low,2022,KATM
SOD-2022-57,12,9,3,3,3,A,A,M,P,0,1,AA,MP,Low,2022,KATM
SOD-2022-57,13,7,6,3,2,C,C,C,I,0,0,CC,CI,Low,2022,KATM
SOD-2022-57,13,9,4,3,3,C,A,C,P,0,1,AC,PC,Low,2022,KATM
SOD-2022-57,7,9,2,2,3,C,A,I,P,0,0,AC,PI,High,2022,KATM
SOD-2022-68,4,4,0,2,2,B,A,M,I,1,1,AB,MI,High,2022,WPWS
SOD-2022-68,4,3,1,2,2,B,A,M,C,0,1,AB,MC,High,2022,WPWS
SOD-2022-68,4,1,3,2,1,B,A,M,P,0,0,AB,MP,Low,2022,WPWS
SOD-2022-68,4,3,1,2,2,A,A,I,C,0,1,AA,CI,High,2022,WPWS
SOD-2022-68,4,1,3,2,1,A,A,I,P,0,0,AA,PI,Low,2022,WPWS
SOD-2022-68,3,1,2,2,1,A,A,C,P,0,0,AA,PC,High,2022,WPWS
SOD-2022-70,2,1,1,2,1,B,B,M,I,0,0,BB,MI,High,2022,WPWS
SOD-2022-70,2,2,0,2,2,B,A,M,C,1,1,AB,MC,High,2022,WPWS
SOD-2022-70,2,1,1,2,1,B,A,M,P,0,0,AB,MP,High,2022,WPWS
SOD-2022-70,1,2,1,1,2,B,A,I,C,0,0,AB,CI,High,2022,WPWS
SOD-2022-70,1,1,0,1,1,B,A,I,P,1,1,AB,PI,High,2022,WPWS
SOD-2022-70,2,1,1,2,1,A,A,C,P,0,0,AA,PC,High,2022,WPWS
SOD-2022-71,13,10,3,3,3,A,A,C,M,0,1,AA,MC,Low,2022,KATM
